Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
NKE,44.78,2026/04/23,16:00 EDT,-0.900002,45.58,45.75,44.24,15624551,20251121,62.39,13.0,,,,,SELL
NKE,44.78,2026/04/23,16:00 EDT,-0.900002,45.58,45.75,44.24,15624551,20240920,85.96,5.0,0.0,,,,BUY
NKE,44.78,2026/04/23,16:00 EDT,-0.900002,45.58,45.75,44.24,15624551,20240823,83.99,5.0,0.0,,,,BUY
NKE,44.78,2026/04/23,16:00 EDT,-0.900002,45.58,45.75,44.24,15624551,20240805,71.95,3.0,0.0,,,,BUY
NVDA,199.64,2026/04/23,16:00 EDT,-2.86,202.4,203.829,197.2206,108937228,,,,,,,,
TSLA,373.72,2026/04/23,16:00 EDT,-13.79,375.485,385.3383,368.3901,93500126,20250711,308.22,7.0,,,,,SELL
TSLA,373.72,2026/04/23,16:00 EDT,-13.79,375.485,385.3383,368.3901,93500126,20250429,291.77,7.0,,,,,SELL
TSLA,373.72,2026/04/23,16:00 EDT,-13.79,375.485,385.3383,368.3901,93500126,20240422,142.55,9.0,0.0,,,,BUY
TSLA,373.72,2026/04/23,16:00 EDT,-13.79,375.485,385.3383,368.3901,93500126,20240320,173.0,5.0,0.0,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20240314,7.17,50.0,0.0,,,,BUY
AMZN,255.08,2026/04/23,16:00 EDT,-0.279999,255.3,258.79,253.07,31032997,20240129,161.06,2.0,0.0,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250929,180.0,10.0,0.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250916,170.16,4.0,,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250916,170.16,1.0,,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250804,159.59,10.0,,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250219,124.08,10.0,0.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250210,113.96,10.0,0.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20241206,75.91,13.0,0.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20241115,64.04,15.0,0.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20231211,17.98,24.0,0.0,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20231207,17.23,20.0,0.0,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20231129,20.01,11.0,0.0,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20231101,14.7,28.0,0.0,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20231207,58.47,1.0,0.0,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20231129,58.51,4.0,0.0,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20231101,51.39,8.0,0.0,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20231031,51.73,9.0,0.0,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20231030,50.77,8.0,0.0,,,,BUY
SHOP,124.23,2026/04/23,16:00 EDT,-7.73,129.74,130.0,121.7301,7413789,20240805,52.65,4.0,0.0,,,,BUY
SHOP,124.23,2026/04/23,16:00 EDT,-7.73,129.74,130.0,121.7301,7413789,20210721,155.0,10.0,0.0,,,,SELL
SHOP,124.23,2026/04/23,16:00 EDT,-7.73,129.74,130.0,121.7301,7413789,20201210,106.875,10.0,0.0,,,,BUY
DBX,23.9,2026/04/23,16:00 EDT,-0.790001,24.2,24.41,23.49,3330401,,,,,,,,